mmT4_x,mmT4_y
-3.44602476347477,1.82380942248423
-3.44602476347477,2.15780051695097
-3.44601132454129,2.15780051695097
-3.4281946584719,2.1578089162844
-3.32078398258314,2.19160615413561
-2.9670880518922,2.19685909726204
-2.28159829235952,2.80277021215596
-1.21066648150803,3.40067340255877
-1.21048169617259,3.40075235629301
-0.341516897219037,4.01577842782397
0.00865131343176273,4.01577842782397
0.302826207712158,4.01577842782397
0.691218104931195,3.89166315761181
0.885733228211009,3.82233001988962
0.885746667144495,3.8221435546875
1.06552264012328,3.66552286410551
1.31741528992259,3.52160196566801
1.57629618513474,3.11988368603068
1.93028441262901,2.4876356212371
2.17965054293291,2.22264169115539
2.17966062213303,2.21995558432483
2.42432312571674,2.1777388546445
2.4272225756164,2.16662485665138
2.4272225756164,1.9865649862027
2.4272225756164,1.85687423846044
2.31101275802752,1.75963851508744
2.31097580096043,1.74738724734805
2.07072798702695,1.63419615019352
1.83855361238532,1.63419615019352
1.6342818233945,1.63419615019352
1.42987900480218,1.69610259729788
1.07839377866972,2.02056548792288
1.07575974770642,2.02549757651233
0.356491228856079,2.1675672618621
-0.340193162270644,2.1675672618621
-1.06776358228211,2.1675672618621
-1.94658583894782,2.16055213858228
-3.00514039205849,1.92431080669438
-3.005859375,1.9217456502652
-3.35610149978498,1.9217456502652
-3.35610149978498,1.67536128332856
