mmT4_x,mmT4_y
-4.12177129622993,3.34300525910264
-4.1021067768062,3.34300525910264
-3.97000206063647,3.48073584880304
-3.5125071674312,3.85463217639048
-2.68935233299885,4.16521432859088
-2.68930193699828,4.1655906187285
-2.07803540711009,4.30635336779673
-1.49572977888475,4.52491914241686
-1.17943104035264,4.52491914241686
-0.802458876863533,4.52491914241686
-0.465551533830272,4.49563402648366
-0.465514576763191,4.49554331368263
0.0435253458285558,4.36732076942374
0.278236319165714,4.19878646430619
0.70782190725344,3.79332712155963
1.05401891305906,3.54937688145069
1.28773540531824,3.4061984840883
1.28814865252293,3.40294458231795
1.66564157468463,3.28494570670872
1.88474994624426,3.06825466330992
1.97513349340596,2.83562504479645
2.0673783328555,2.7554416481508
2.23416557661984,2.69106915675172
2.23416557661984,2.68227505465166
2.23416557661984,2.58112020230075
2.20666615897363,2.58112020230075
2.2024160962586,2.58112020230075
2.15653221760321,2.60286271681479
1.79954710794151,2.68265974412271
1.79794115538991,2.68275885625717
1.57498252938647,2.68941448806623
1.32892573645356,2.82896101365396
1.05501675387041,3.02990834647362
0.699550243692663,3.03160669169295
0.228858317803898,3.03274396143922
0.228166212729356,3.03160669169295
-0.251556676462158,3.02990834647362
-0.842906706923742,2.82524178881164
-1.45273191119553,2.77135838499857
-2.08126411088016,2.6186450643277
-2.62270194237385,2.56880845936067
-2.62451955812787,2.56833641682196
-3.34914685170585,2.41160149530533
-3.92339247957282,2.41160149530533
