mmT4_x,mmT4_y
-3.52766964413704,-1.56794724770642
-3.52766964413704,-1.56794724770642
-3.52766964413704,-1.56794724770642
-3.36294527666284,-1.51570675351204
-3.17132960328268,-1.45783534618693
-3.16609849842316,-1.45772111525229
-3.1025860987672,-1.31891037127294
-2.76493625465883,-1.14819559919725
-2.42963822391055,-0.863065107153098
-2.11117245735378,-0.711759514764909
-2.03411697247707,-0.710768393420299
-2.03292090739679,-0.696136754587156
-1.89747325652236,-0.684008117115827
-1.63612967674885,-0.625333733514909
-1.4926522631164,-0.578075723910551
-1.29109177895642,-0.507544841241399
-1.01096728963589,-0.477119095828556
-1.00923366721617,-0.470177886682913
-0.943833097405388,-0.4259033203125
-0.903919464951258,-0.42484500430046
-0.8397216796875,-0.382955848623855
-0.778413265123277,-0.382099116614107
-0.558864768491972,-0.262828581923738
-0.55803827408257,-0.262311182984519
-0.466562813575116,-0.203015248709862
-0.402029054974193,-0.184516556766056
-0.28534551497993,-0.184432563431766
-0.279795235450116,-0.178768052967317
-0.260668273365823,-0.1640625
-0.218365870484519,-0.163192329056766
-0.279795235450116,-0.128768500931766
-0.279795235450116,-0.128768500931766
-0.373199182912842,-0.0837648724197262
-0.423443995484519,0.000634989607224412
-0.477643214234519,0.000634989607224412
-0.482017587084286,0.000634989607224412
-1.11424549347763,-0.164717648007455
-1.45716003977924,-0.255920970111813
-2.09571432411123,-0.70939090273796
-2.80773589807912,-0.713190761181194
-3.19758927931479,-0.713190761181194
-3.19811003798738,-0.714228918793005
-3.79919321602637,-0.714228918793005
-4.47911253762901,-0.717225800960437
-4.49833693198108,-0.720239481794726
-4.61330700795585,-0.813102512184633
-4.81249888008887,-0.887523966098051
-4.81346648329988,-0.887523966098051
